City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Kaitangata,NZ,-46.2817,169.8464,57.6,95,100,2.93,overcast clouds
171,Olafsvik,IS,64.8945,-23.7142,37.99,68,100,25.23,overcast clouds
172,Pisco,PE,-13.7,-76.2167,69.85,78,20,4.61,few clouds
173,Cabedelo,BR,-6.9811,-34.8339,77.67,80,100,9.64,overcast clouds
174,Hami,CN,42.8,93.45,24.62,35,6,2.42,clear sky
175,Tuktoyaktuk,CA,69.4541,-133.0374,-5.69,96,100,16.73,overcast clouds
176,San Patricio,US,28.017,-97.5169,57.04,55,9,8.39,clear sky
177,Watertown,US,42.3709,-71.1828,13.41,84,100,8.99,overcast clouds
178,Puerto Rondon,CO,6.2805,-71.1,78.8,49,79,4.83,broken clouds
179,Darnah,LY,32.767,22.6367,53.02,80,100,39.17,overcast clouds
180,Fukue,JP,32.6881,128.8419,48.29,50,99,15.39,overcast clouds
181,Xifeng,CN,42.7372,124.7222,19.94,39,0,8.3,clear sky
182,Graaff-Reinet,ZA,-32.2522,24.5308,56.91,94,0,1.23,clear sky
183,Dikson,RU,73.5069,80.5464,7.05,94,100,16.64,overcast clouds
184,Barquisimeto,VE,10.0739,-69.3228,68.18,87,28,5.35,scattered clouds
185,San Quintin,MX,30.4833,-115.95,59.02,73,14,6.89,few clouds
186,Hargeysa,SO,9.56,44.065,53.91,64,36,10.16,scattered clouds
187,Tessalit,ML,20.1986,1.0114,63.57,17,25,10.56,scattered clouds
188,Bambous Virieux,MU,-20.3428,57.7575,83.21,78,40,10.36,scattered clouds
189,Iquitos,PE,-3.7481,-73.2472,73.44,100,0,2.3,clear sky
190,Tabou,CI,4.423,-7.3528,77.61,88,49,1.1,scattered clouds
191,Krasavino,RU,60.9614,46.4814,13.42,96,99,5.68,light snow
192,Acarau,BR,-2.8856,-40.12,76.64,82,100,9.35,overcast clouds
193,Tsabong,BW,-26.0217,22.401,72.36,70,0,12.26,clear sky
194,Innoshima,JP,34.2833,133.1833,47.41,43,100,4.32,overcast clouds
195,Teahupoo,PF,-17.8333,-149.2667,75.16,75,69,8.93,light rain
196,Lac Du Bonnet,CA,50.2536,-96.0612,-0.45,100,98,3.8,overcast clouds
197,Kodinsk,RU,58.6881,99.1844,4.06,93,100,2.21,overcast clouds
